county,Vehicle Count
Aitkin County,276
Anoka County,32159
Becker County,897
Beltrami County,1136
Benton County,1253
Big Stone County,90
Blue Earth County,3105
Brown County,829
Carlton County,886
Carver County,15416
Cass County,757
Chippewa County,178
Chisago County,3432
Clay County,1882
Clearwater County,116
Cook County,363
Cottonwood County,251
Crow Wing County,2623
Dakota County,57933
Dodge County,823
Douglas County,1388
Faribault County,465
Fillmore County,519
Freeborn County,760
Goodhue County,2888
Grant County,139
Hennepin County,232367
Houston County,960
Hubbard County,559
Isanti County,1814
Itasca County,1001
Jackson County,140
Kanabec County,301
Kandiyohi County,1645
Kittson County,87
Koochiching County,119
Lac qui Parle County,38
Lake County,557
Lake of the Woods County,88
Le Sueur County,943
Lincoln County,152
Lyon County,425
Mahnomen County,60
Marshall County,73
Martin County,281
McLeod County,1338
Meeker County,534
Mille Lacs County,1017
Morrison County,828
Mower County,1266
Murray County,131
Nicollet County,1883
Nobles County,322
Norman County,90
Olmsted County,17216
Otter Tail County,1718
Pennington County,267
Pine County,621
Pipestone County,185
Polk County,463
Pope County,405
Ramsey County,78686
Red Lake County,36
Redwood County,233
Renville County,229
Rice County,4999
Rock County,192
Roseau County,216
Scott County,18820
Sherburne County,6928
Sibley County,510
St. Louis County,8299
Stearns County,7349
Steele County,1639
Stevens County,360
Swift County,248
Todd County,369
Traverse County,1
Wabasha County,1146
Wadena County,293
Waseca County,625
Washington County,43982
Watonwan County,234
Wilkin County,53
Winona County,2042
Wright County,8700
Yellow Medicine County,64
