Fuel Type Code,Station Name,Street Address,City,State,ZIP,Station Phone,Groups With Access Code,Access Days Time,EV Network,Latitude,Longitude,Status Code
ELEC,City of Champaign - Hill Street Parking Deck,123 W Hill St,Champaign,IL,61820,217-403-4700,Public,24 hours daily; pay lot,Non-Networked,40.119161,-88.244185,E
ELEC,INTERPARK 50 EAST OHIO 2,50 E Ohio St,Chicago,IL,60611,888-758-4389,TEMPORARILY UNAVAILABLE (Public),24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,ChargePoint Network,41.892757,-87.626038,T
ELEC,City Hall Annex - Town of Normal,100 E Phoenix Ave,Normal,IL,61761,309-454-2444,Public,24 hours daily,Non-Networked,40.507796,-88.982897,E
ELEC,College Avenue Parking Deck,101 W Mulberry St,Normal,IL,61761,309-454-2444,Public,24 hours daily; parking fee,Non-Networked,40.511172,-88.984985,E
ELEC,State of Illinois - Governor's Mansion,401-499 E Edwards St,Springfield,IL,62703,,Private,For state vehicle use only,Non-Networked,39.79628,-89.6504,E
ELEC,O'Hare Airport,10000 W O'Hare Ave,Chicago,IL,60666,800-832-6352,Public - Credit card at all times,24 hours daily; pay lots,Non-Networked,41.97850582311076,-87.90328000006105,E
ELEC,Town of Normal - Fire Department Headquarters,606 S Main St,Normal,IL,61761,,Private,,Non-Networked,40.505132,-88.994211,E
ELEC,Town of Normal - Public Works Department,1301 Warriner,Normal,IL,61761,309-454-9590,Public,24 hours daily,Non-Networked,40.496969,-89.004735,E
ELEC,Beaufort Street Parking Deck,211 W Beaufort St,Normal,IL,61761,309-454-9590,Public,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,Non-Networked,40.507954,-88.986429,E
ELEC,Heartland Community College - Workforce Development Center,1500 W Raab Rd,Normal,IL,61761,309-268-8000,Public,Restricted to College hours,Non-Networked,40.535456,-89.013791,E
ELEC,Heartland Community College - Astroth Community Education Center,1500 W Raab Rd,Normal,IL,61761,309-268-8000,Public,College business hours,Non-Networked,40.534785,-89.011493,E
ELEC,Great Escape Restaurant,9540 W Irving Park Rd,Schiller Park,IL,60176,847-671-7171,Public,Restaurant business hours; customer use only,Non-Networked,41.955233,-87.865268,E
ELEC,City of Rock Island Parking Ramp,16th St & 3rd Ave,Rock Island,IL,61201,309-732-2200,TEMPORARILY UNAVAILABLE (Public),Garage business hours; pay lot,Non-Networked,41.509406,-90.577025,T
ELEC,Mike Miller Mitsubishi,2007 W Pioneer Pkwy,Peoria,IL,61615,877-273-0662,Public - Call ahead,Dealership business hours; Mitsubishi vehicle use only,Non-Networked,40.784164,-89.623657,E
ELEC,Arlington Nissan,1100 W Dundee Rd,Arlington Heights,IL,60004,847-590-6100,Public - Call ahead,Dealership business hours,Non-Networked,42.139843,-87.996655,E
ELEC,Arlington Nissan,1100 W Dundee Rd,Arlington Heights,IL,60004,847-590-6100,Private,,Non-Networked,42.139843,-87.996655,E
ELEC,O'Brien Nissan,2029 Ireland Grove Rd,Bloomington,IL,61704,309-664-1222,Public - Call ahead,Dealership business hours,Non-Networked,40.459154,-88.966191,E
ELEC,O'Brien Nissan,2029 Ireland Grove Rd,Bloomington,IL,61704,309-664-1222,Private,,Non-Networked,40.459154,-88.966191,E
