Station Name,City,State,ZIP,Latitude,Longitude
3M,St. Paul,MN,55117,44.95121,-92.9952
Lawson Parking Ramp,St. Paul,MN,55102,44.946327,-93.095535
Lower Town Parking Ramp,St. Paul,MN,55101,44.947042,-93.088226
St. Paul Natural Resources Department,St. Paul,MN,55108,44.973838,-93.156808
St. Paul Public Works Maintenance Garage,St. Paul,MN,55103,44.967593,-93.127742
World Trade Center Parking Ramp,St. Paul,MN,55101,44.948972,-93.0962
Country Chevrolet,Annandale,MN,55302,45.25643,-94.10853
THOMSON REUTERS EAGAN CAMPUS,Eagan,MN,55123,44.825192,-93.112679
Minnesota Department of Natural Resources,St. Paul,MN,55155,44.956138,-93.084209
Eden Prairie Nissan,Eden Prairie,MN,55344,44.86482,-93.43809
Eden Prairie Nissan,Eden Prairie,MN,55344,44.86482,-93.43809
Kline Nissan,Maplewood,MN,55109,45.03541,-93.04357
Kline Nissan,Maplewood,MN,55109,45.03541,-93.04357
CARLETON JAMES HALL EAST,Northfield,MN,55057,44.460308,-93.15215
State Capitol,St. Paul,MN,55103,44.9554,-93.105642
Luther Nissan,Inver Grove Heights,MN,55077,44.877212,-93.076039
Luther Nissan,Inver Grove Heights,MN,55077,44.877212,-93.076039
Lupient Nissan,Rochester,MN,55901,44.071507,-92.499454
Lupient Nissan,Rochester,MN,55901,44.071507,-92.499454
Miller Nissan,St. Cloud,MN,56301,45.547548,-94.194363
Miller Nissan,St. Cloud,MN,56301,45.547548,-94.194363
Minnesota Discovery Center,Chisholm,MN,55719,47.479994,-92.894412
Roush,Bemidji,MN,56601,47.4736111,-94.8802778
Dynamic Sealing Technologies,Andover,MN,55304,45.22168,-93.309692
White Bear Mitsubishi Suzuki,White Bear Lake,MN,55110,45.044102,-93.038002
Green Rock Apartments - Downtown Lofts,Minneapolis,MN,55415,44.97518,-93.25363
HOLIDAY INN! HOLIDAY INN 01,Duluth,MN,55802,46.78514,-92.102118
3M Center,Maplewood,MN,55119,44.949919,-92.998105
Gateway Ramp,Minneapolis,MN,55415,44.978436,-93.263535
Minneapolis-St. Paul International Airport - Terminal 2,Minneapolis,MN,55450,44.87386,-93.228019
Walser Nissan,Burnsville,MN,55306,44.73423,-93.28646
Walser Nissan,Burnsville,MN,55306,44.73423,-93.28646
Jimmy Lee Recreational Center,St. Paul,MN,55104,44.9491365536018,-93.14523688200076
MINNEAPOLIS HAAF RAMP L2-2,Minneapolis,MN,55415,44.977272,-93.262955
Eden Prairie City Center,Eden Prairie,MN,55344,44.856491,-93.46274
Riverland Community College,Albert Lea,MN,56007,43.677197,-93.354029
Dave Syverson Nissan,Albert Lea,MN,56007,43.655954,-93.334482
CR 2020 483-EVCHG-1,Falcon Heights,MN,55108,44.983428,-93.182787
Holiday Stationstore #434,Minneapolis,MN,55450,44.86432,-93.223387
Inver Grove Ford Lincoln,Inver Grove Heights,MN,55077,44.880515,-93.080637
Hayford Ford,Isanti,MN,55040,45.514149,-93.237088
Polar Chevrolet Mazda,White Bear Lake,MN,55110,45.064992,-93.024212
New Brighton Ford,New Brighton,MN,55112,45.066177,-93.220016
Rosedale Chevrolet,Roseville,MN,55113,45.026189,-93.193662
St. Louis Park - City Hall,St. Louis Park,MN,55416,44.94674,-93.342971
Fat Jack's Cabaret,Bock,MN,56313,45.786248,-93.552278
Morrie's Nissan,Brooklyn Park,MN,55445,45.093871,-93.372061
Green Rock Apartments,Minneapolis,MN,55418,45.007619,-93.244688
Green Rock Apartments,Minneapolis,MN,55404,44.967773,-93.267233
Green Rock Apartments,Minneapolis,MN,55405,44.957971,-93.285849
Motel 6 - Owatonna,Owatonna,MN,55060,44.135921,-93.254538
CMC CMC HOSPITAL,Cambridge,MN,55008,45.567308,-93.231202
UMN 214-EVCHG-1,Minneapolis,MN,55455,44.969677,-93.243328
beKind Salon and Spa,St. Paul,MN,55110,45.050399,-92.995996
LIFESOURCE EV 1,Minneapolis,MN,55411,45.002323,-93.277028
NORTH ST PAUL CITY HALL,North St Paul,MN,55109,45.013696,-92.991697
Wayzata Nissan,Wayzata,MN,55391,44.97191,-93.48118
Wayzata Nissan,Wayzata,MN,55391,44.97191,-93.48118
PUBLIC STATIONS NORTH MISS PARK,Minneapolis,MN,55430,45.048396,-93.283691
Morrie's Nissan,Brooklyn Park,MN,55445,45.093871,-93.372061
Minneapolis-St. Paul International Airport - Terminal 1 Red Ramp,St. Paul,MN,55111,44.88396,-93.211253
Riverplace Municipal Garage,Minneapolis,MN,55414,44.986556,-93.256958
HY VEE LAKEVILLE SOUTH,Lakeville,MN,55044,44.714683,-93.174175
NSCF NSC LOT G,Blaine,MN,55449,45.158266,-93.225787
HY VEE BROOKLYN PARK 1,Brooklyn Park,MN,55445,45.126087,-93.358431
LUTHER WESTSIDE VW_402408,Saint Louis Park,MN,55416,44.960082,-93.34622
