Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,3M,3M Center Dr,,St. Paul,MN,55117,,,E,,Private,Employee use only; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,42,2,,,Non-Networked,,GPS,44.95121,-92.9952,2023-03-08,38887,2024-01-31 22:07:01 UTC,P,,,2014-12-11,,,,,J1772 NEMA520,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,true,
ELEC,Lawson Parking Ramp,10 W 6th St,,St. Paul,MN,55102,,651-224-1931,E,,Public,24 hours daily; pay lot,,,,,,5,,,Non-Networked,,200-8,44.946327,-93.095535,2024-08-15,40046,2024-08-15 19:57:12 UTC,LG,,,2011-10-17,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,"$5 per session, customers pay up to $20 for leaving car connected after done charging",,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Lower Town Parking Ramp,316 Jackson St,,St. Paul,MN,55101,,651-291-0523,E,,Private - Fleet customers only,24 hours daily for monthly parkers only,,,,,,1,,,Non-Networked,,GPS,44.947042,-93.088226,2024-07-11,40047,2024-07-11 19:05:43 UTC,LG,,,2011-10-17,,,,,J1772,US,,,,Privé - Réservé aux clients de parcs,,private,FLEET,,PAY_GARAGE,,,,,,,Free for fleet,,,,,,,,,,,,,,,,,,LD,false,
ELEC,St. Paul Natural Resources Department,1100 N Hamline Ave,,St. Paul,MN,55108,,,E,,Private - Government only,Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,1,,,Non-Networked,,200-8,44.973838,-93.156808,2023-01-10,40056,2024-07-12 17:17:49 UTC,LG,,,2011-03-15,,,,,J1772 NEMA520,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,St. Paul Public Works Maintenance Garage,873 Dale St N,,St. Paul,MN,55103,,,E,,Private - Government only,Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,1,,,Non-Networked,,200-9,44.967593,-93.127742,2023-01-10,40057,2024-07-12 17:17:34 UTC,LG,,,2012-07-31,,,,,J1772 NEMA520,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,World Trade Center Parking Ramp,477 Cedar St,,St. Paul,MN,55101,,651-224-8838,E,,Public - Card key at all times,24 hours daily; monthly contracted parking customers only,,,,,,2,,,Non-Networked,,GPS,44.948972,-93.0962,2024-07-11,40063,2024-07-11 19:05:43 UTC,LG,,,2011-10-17,,,,,J1772,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Country Chevrolet,840 E Elm St,Located near highway 55,Annandale,MN,55302,,,E,,Public,8:30am-6pm M-F; 8:30am-2pm Sat,,,,,,3,,,Non-Networked,,GPS,45.25643,-94.10853,2024-04-14,41446,2024-11-08 14:57:45 UTC,P,,,2011-10-21,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,THOMSON REUTERS EAGAN CAMPUS,610 Opperman Dr,,Eagan,MN,55123,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.825192,-93.112679,2024-12-10,43254,2024-12-10 00:51:28 UTC,,,,2012-01-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Minnesota Department of Natural Resources,500 Lafayette Rd N,"Located in parking lot, first right north of the intersection of Lafayette and Grove",St. Paul,MN,55155,,,E,,Private,,,,,,,2,,,Non-Networked,,200-9,44.956138,-93.084209,2023-05-03,43455,2024-01-31 22:07:01 UTC,LG,,,2011-11-01,,,,,J1772,US,,,,Privé,,private,,,STATE_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Eden Prairie Nissan,12790 Plaza Dr,,Eden Prairie,MN,55344,,,E,,Public - Call ahead,Dealership business hours,,,,,,1,2,,Non-Networked,,200-8,44.86482,-93.43809,2024-02-12,47714,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Eden Prairie Nissan,12790 Plaza Dr,,Eden Prairie,MN,55344,,,E,,Private,,,,,,,1,,,Non-Networked,,200-8,44.86482,-93.43809,2024-02-12,47715,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Kline Nissan,3090 N Highway 61,,Maplewood,MN,55109,,651-379-4300,E,,Public,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,45.03541,-93.04357,2024-02-12,47716,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Kline Nissan,3090 N Highway 61,,Maplewood,MN,55109,,651-379-4300,E,,Private,,,,,,,1,,,Non-Networked,,200-8,45.03541,-93.04357,2024-02-12,47717,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,CARLETON JAMES HALL EAST,140 Nevada St,,Northfield,MN,55057,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.460308,-93.15215,2024-12-10,49365,2024-12-10 01:06:51 UTC,,,,2012-08-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,State Capitol,422 Rice St,Ramp F,St. Paul,MN,55103,,651-201-2555,E,,Public,24 hours daily; pay lot,,,,,,2,,,Non-Networked,,GPS,44.9554,-93.105642,2023-07-11,49521,2024-01-31 22:07:01 UTC,SG,,,2016-01-31,,,,,J1772,US,,,,Public,,public,,,STATE_GOV,,,,,,,Free,,,,,,,,,SOLAR,false,,,,,,,,LD,false,
ELEC,Luther Nissan,1470 50th St E,,Inver Grove Heights,MN,55077,,651-457-5757,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,44.877212,-93.076039,2024-02-12,49852,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Luther Nissan,1470 50th St E,,Inver Grove Heights,MN,55077,,651-457-5757,E,,Private,,,,,,,1,,,Non-Networked,,200-9,44.877212,-93.076039,2024-02-12,49853,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Lupient Nissan,4642 Highway 52 N,,Rochester,MN,55901,,507-252-5577,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,44.071507,-92.499454,2024-02-12,49858,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Lupient Nissan,4642 Highway 52 N,,Rochester,MN,55901,,507-252-5577,E,,Private,,,,,,,1,,,Non-Networked,,200-9,44.071507,-92.499454,2024-02-12,49859,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Miller Nissan,2930 2nd St S,,St. Cloud,MN,56301,,320-251-1363,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,45.547548,-94.194363,2024-02-12,49860,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Miller Nissan,2930 2nd St S,,St. Cloud,MN,56301,,320-251-1363,E,,Private,,,,,,,1,,,Non-Networked,,200-9,45.547548,-94.194363,2024-02-12,49861,2024-02-12 15:25:05 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Minnesota Discovery Center,1005 Discovery Dr,,Chisholm,MN,55719,,218-254-7959,E,,Public,Center business hours,,,,,,1,,,Non-Networked,,200-8,47.479994,-92.894412,2024-11-06,50082,2024-11-06 19:40:58 UTC,P,,,2012-11-30,,,,,J1772,US,,,,Public,,public,,,MUSEUM,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Roush,3507 Gillette Dr NW,Located at building 44,Bemidji,MN,56601,,,E,,Private,For test vehicle use only,,,,,,7,,,Non-Networked,,GPS,47.4736111,-94.8802778,2024-08-15,52055,2024-08-15 19:57:12 UTC,P,,,2013-06-15,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Dynamic Sealing Technologies,13829 Jay St NW,,Andover,MN,55304,,763-786-3758,E,,Private,24 hours daily; employee and guest use only,,,,,,2,,,Non-Networked,,200-9,45.22168,-93.309692,2023-05-03,52547,2024-01-31 22:07:01 UTC,P,,,2013-06-14,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,true,
ELEC,White Bear Mitsubishi Suzuki,3400 Highway 61,,White Bear Lake,MN,55110,,651-483-9106,E,,Public - Call ahead,Dealership business hours; for customers only,,,,,,2,,,Non-Networked,,200-9,45.044102,-93.038002,2023-04-06,52572,2024-01-31 22:07:01 UTC,P,,,2013-06-14,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Green Rock Apartments - Downtown Lofts,1023 Washington Ave S,,Minneapolis,MN,55415,,612-372-5048  855-900-7584,E,,Public - Call ahead,8am-5pm M-F,,,,,,1,,,Non-Networked,,200-8,44.97518,-93.25363,2024-08-15,52867,2024-08-15 19:57:12 UTC,P,,,2013-08-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,MULTI_UNIT_DWELLING,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,HOLIDAY INN! HOLIDAY INN 01,200 W 1st St,,Duluth,MN,55802,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,46.78514,-92.102118,2024-12-10,53102,2024-12-10 00:31:13 UTC,,,,2013-10-01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,3M Center,2501 Hudson Rd,Building 220,Maplewood,MN,55119,,651-733-1110,E,,Public,24 hours daily,,,,,1,1,,,Non-Networked,,200-8,44.949919,-92.998105,2023-01-10,53426,2023-02-14 15:54:11 UTC,P,,,2011-02-11,,,,,J1772 NEMA520,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Gateway Ramp,400 S 3rd St,Located on levels 2 and 4,Minneapolis,MN,55415,,612-338-2643,E,,Public,Garage business hours; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,3,2,,,Non-Networked,,200-8,44.978436,-93.263535,2023-05-03,53427,2024-01-31 22:07:01 UTC,P,,,2013-06-24,,,,,NEMA520 TESLA,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Minneapolis-St. Paul International Airport - Terminal 2,7150 Humphrey Dr,Humphrey Terminal Value Parking. Located in the orange ramp on level 7,Minneapolis,MN,55450,,612-726-5555,E,,Public,24 hours daily; pay lot,,,,,,4,,,Non-Networked,,200-9,44.87386,-93.228019,2024-11-06,53430,2024-11-06 19:40:58 UTC,P,,,2013-08-19,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Walser Nissan,14750 Buck Hill Rd,,Burnsville,MN,55306,,952-435-5550,E,,Public - Call ahead,Dealership business hours,,,,,,1,2,,Non-Networked,,200-8,44.73423,-93.28646,2024-02-12,53726,2024-02-12 15:25:05 UTC,P,,,2013-11-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Walser Nissan,14750 Buck Hill Rd,,Burnsville,MN,55306,,952-435-5550,E,,Private,,,,,,,1,,,Non-Networked,,200-8,44.73423,-93.28646,2024-02-12,53727,2024-02-12 15:25:05 UTC,P,,,2013-11-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Jimmy Lee Recreational Center,270 Lexington Ave,,St. Paul,MN,55104,,651-642-0650,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,44.9491365536018,-93.14523688200075,2024-08-15,53879,2024-08-15 19:57:12 UTC,P,,,2013-11-01,,,,,J1772,US,,,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,$1 per hour,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,MINNEAPOLIS HAAF RAMP L2-2,424 S 4th St,,Minneapolis,MN,55415,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.977272,-93.262955,2024-12-10,57638,2024-12-10 01:07:19 UTC,,,,2012-07-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Eden Prairie City Center,8080 Mitchell Rd,,Eden Prairie,MN,55344,,952-949-8300,E,,Private,City vehicle use only,,,,,,2,,,Non-Networked,,200-9,44.856491,-93.46274,2023-04-06,60308,2024-01-31 22:07:01 UTC,P,,,2014-01-01,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Riverland Community College,2200 Riverland Dr,Located on the North side,Albert Lea,MN,56007,,507-379-3300,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,43.677197,-93.354029,2023-01-10,60311,2023-02-14 15:54:11 UTC,P,,,2014-01-01,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,SOLAR,false,,,,,,,,LD,false,
ELEC,Dave Syverson Nissan,2310 E Main St,,Albert Lea,MN,56007,,507-373-1438,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,43.655954,-93.334482,2024-02-12,60981,2024-02-12 15:25:05 UTC,P,,,2016-02-10,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,CR 2020 483-EVCHG-1,1395 Gortner Ave,,Falcon Heights,MN,55108,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.983428,-93.182787,2024-12-10,62096,2024-12-10 01:00:15 UTC,,,,2014-06-11,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Holiday Stationstore #434,7700 34th Ave S,,Minneapolis,MN,55450,,612-727-1512,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,44.86432,-93.223387,2024-07-11,62535,2024-07-11 19:05:43 UTC,P,,,2014-06-01,,,,,J1772,US,,,,Public,,public,,,GAS_STATION,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Inver Grove Ford Lincoln,4725 S Robert Trail,,Inver Grove Heights,MN,55077,,651-451-2201,P,2023-07-01,PLANNED - not yet accessible (Public - Call ahead),Dealership business hours,,,,,,6,6,,Non-Networked,,200-8,44.880515,-93.080637,2023-05-03,63615,2024-01-31 22:07:01 UTC,P,,,,,,,,J1772 J1772COMBO,US,,,,PRÉVU - pas encore accessible (Public - Appeler à l'avance),,public,CALL,,CAR_DEALER,,,,,,,Free for Level 2 charging; fee for DC fast charging,,,,,,,,,,false,,,,,,,,LD,false,
