Month-Year,Adams,Alexander,Bond,Boone,Brown,Bureau,Calhoun,Carroll,Cass,Champaign,Christian,Clark,Clay,Clinton,Coles,Cook,Crawford,Cumberland,Dekalb,Dewitt,Douglas,Dupage,Edgar,Edwards,Effingham,Fayette,Ford,Franklin,Fulton,Gallatin,Greene,Grundy,Hamilton,Hancock,Hardin,Henderson,Henry,Iroquois,Jackson,Jasper,Jefferson,Jersey,Jo Daviess,Johnson,Kane,Kankakee,Kendall,Knox,Lake,Lasalle,Lawrence,Lee,Livingston,Logan,Mcdonough,Mchenry,Mclean,Macon,Macoupin,Madison,Marion,Marshall,Mason,Massac,Menard,Mercer,Monroe,Montgomery,Morgan,Moultrie,Ogle,Peoria,Perry,Piatt,Pike,Pope,Pulaski,Putnam,Randolph,Richland,Rock Island,Clair,Saline,Sangamon,Schuyler,Scott,Shelby,Stark,Stephenson,Tazewell,Union,Vermilion,Wabash,Warren,Washington,Wayne,White,Whiteside,Will,Williamson,Winnebago,Woodford,Chicago,Unknown County,Total Count
2017-11-01,6,1,2,8,0,6,0,1,0,86,3,2,0,10,12,2062,1,1,19,3,3,1371,0,1,5,0,7,2,2,0,2,13,1,2,0,1,10,9,16,0,5,3,13,0,305,36,46,11,1172,18,3,4,4,4,3,154,183,19,7,73,3,1,0,1,1,0,11,3,2,3,11,65,2,2,0,0,0,2,4,1,32,71,1,113,1,1,2,1,7,32,2,9,0,2,2,0,0,6,381,8,70,14,1385,48,8031
2017-12-01,6,1,2,8,0,6,0,1,0,88,3,2,0,10,11,2119,1,1,19,3,3,1416,0,1,6,0,8,2,2,0,2,15,1,2,0,1,11,9,16,0,5,3,13,0,319,36,46,10,1198,19,3,4,4,4,3,162,180,19,7,77,3,1,0,1,1,0,11,3,2,4,11,69,2,2,0,0,0,2,4,1,33,77,1,117,1,1,2,1,8,32,2,9,0,2,2,0,0,6,398,9,75,14,1410,50,8255
2018-01-01,6,1,2,8,0,6,0,1,0,97,3,2,0,10,11,2165,1,1,22,3,3,1442,0,1,6,0,8,2,2,0,2,15,1,2,0,1,11,8,16,0,6,3,13,0,330,36,48,11,1219,20,2,4,4,4,3,165,181,21,7,79,3,1,0,1,1,0,11,3,2,4,12,72,2,2,0,0,0,3,5,1,33,79,1,119,2,1,2,1,8,32,2,9,0,2,2,0,0,5,410,9,78,13,1436,53,8435
2018-02-01,6,1,2,9,0,6,0,1,0,99,4,2,0,12,10,2241,1,1,23,3,3,1504,0,1,6,0,8,2,2,0,2,15,1,2,0,1,11,9,16,0,6,3,13,0,339,37,49,11,1269,19,2,4,4,4,3,178,182,22,7,79,3,1,0,1,1,0,10,3,2,4,11,75,2,3,0,0,0,3,5,1,34,81,1,123,2,1,2,1,8,32,2,9,0,2,2,0,0,5,426,9,83,13,1497,55,8748
2018-03-01,6,1,2,9,0,6,0,1,0,100,4,2,0,12,10,2257,1,1,23,3,3,1516,0,1,6,0,8,2,2,0,2,15,1,2,0,1,11,9,16,0,6,3,13,0,344,36,49,11,1270,19,2,4,4,4,4,182,181,22,7,79,3,1,0,1,1,0,10,3,2,4,11,75,2,3,0,0,0,3,5,1,31,83,1,122,2,1,2,1,8,32,2,9,0,2,2,0,0,5,436,9,84,13,1527,55,8825
2018-04-01,7,1,2,9,0,6,0,1,0,102,4,2,0,12,10,2279,1,1,23,3,3,1539,0,1,6,0,8,2,2,0,2,15,1,2,0,1,11,9,16,0,6,3,14,0,346,36,49,11,1288,19,2,4,4,4,4,186,182,22,7,77,3,1,0,1,1,0,10,4,3,4,11,77,2,3,0,0,0,3,5,1,32,85,1,122,2,1,2,1,8,32,2,10,0,2,2,0,0,5,445,9,85,13,1533,55,8921
2018-05-01,8,1,2,9,0,6,0,1,0,105,4,2,0,12,10,2390,1,1,23,3,3,1627,0,1,6,0,8,2,2,0,2,15,1,2,0,1,12,9,17,0,5,3,15,0,353,35,49,11,1348,19,3,4,5,4,5,197,183,23,9,82,4,1,0,1,1,0,11,4,3,4,11,86,2,3,0,0,0,3,5,1,32,89,1,128,2,1,2,1,8,35,2,10,0,2,2,0,0,5,468,9,90,14,1591,58,9329
2018-06-01,8,1,2,10,0,6,0,1,0,106,4,1,0,12,10,2436,2,1,24,3,3,1665,2,1,7,0,9,2,2,0,2,15,1,2,0,1,12,9,17,0,5,3,14,0,356,36,53,11,1368,21,3,4,6,4,5,197,188,23,9,89,4,1,0,1,1,0,12,4,3,4,12,88,2,3,0,0,0,3,5,1,35,94,1,129,2,1,2,1,8,35,2,10,0,2,3,0,0,5,485,9,91,14,1634,59,9538
2018-07-01,8,1,2,11,0,6,0,1,0,111,4,1,0,12,10,2481,2,1,25,3,3,1691,2,1,7,0,8,2,2,0,2,19,1,2,0,1,12,9,17,0,5,3,15,0,368,35,53,11,1388,22,3,4,6,4,5,207,188,24,9,89,4,1,0,1,1,0,12,4,3,5,12,88,2,3,0,0,0,3,5,1,35,94,1,130,2,1,2,1,8,36,2,10,0,2,3,0,0,6,495,9,92,14,1661,61,9707
2018-08-01,9,1,2,11,0,6,0,1,0,118,4,1,0,12,10,2575,3,1,25,3,2,1789,3,2,8,0,8,2,2,0,3,19,1,2,0,1,12,9,17,0,5,3,14,0,390,35,57,11,1435,24,3,4,6,4,5,217,189,25,9,97,5,2,0,1,3,0,14,4,3,5,12,89,2,3,0,0,0,3,5,1,35,98,2,139,2,1,2,1,8,37,2,11,0,2,3,0,0,6,519,10,96,15,1750,63,10149
2018-09-01,9,1,3,11,0,6,0,1,0,120,4,1,0,12,10,2649,3,1,27,3,2,1836,3,2,8,0,8,2,2,0,3,19,1,3,0,1,13,9,17,0,5,3,16,0,405,35,60,12,1475,25,3,4,6,4,5,229,188,25,9,99,5,2,0,1,3,0,15,4,4,5,13,92,2,3,0,0,0,4,5,1,35,103,2,143,2,1,2,1,9,40,2,11,0,2,3,0,0,7,531,10,98,15,1802,64,10440
