Make/Model,EV Type,EPA Range,Battery (kWh),Miles/kWh,MSRP,MSRP/kWh,MSRP/Miles,Launch year
Audi e-tron,BEV,222,95.0,2.34,"$70,800.00",$745,$319,2009
Audi e-tron GT,BEV,238,93.0,2.56,"$104,900.00","$1,128",$441,2021
Audi e-tron Sportback,BEV,218,95.0,2.29,"$74,000.00",$779,$339,2020
Audi Q4 e-tron,BEV,265,82.0,3.23,"$48,800.00",$595,$184,2022
Audi Q4 e-tron Sportback,BEV,241,82.0,2.94,"$56,800.00",$693,$236,2022
Audi Q5 TFSI e PHEV,PHEV,23,18.0,1.28,"$55,400.00","$3,078","$2,409",2020
Audi Q6 e-tron,BEV,,,0.00,,$0,$0,2025
Audi Q8 e-tron,BEV,285,114.0,2.50,"$74,400.00",$653,$261,2019
Bentley Bentagya Hybrid,PHEV,18,18.0,1.00,"$166,000.00","$9,222","$9,222",2018
BMW 330e,PHEV,23,12.0,1.92,"$43,300.00","$3,608","$1,883",2016
BMW 530e,PHEV,21,12.0,1.75,"$56,400.00","$4,700","$2,686",2017
BMW i4 eDrive40,BEV,301,84.0,3.58,"$55,900.00",$665,$186,2021
BMW i5,BEV,0,83.9,0.00,"$60,000.00",$715,$0,2025
BMW iX xDrive50,BEV,324,105.0,3.09,"$84,100.00",$801,$260,2022
BMW X5 xDrive 45e,PHEV,31,17.0,1.82,"$65,400.00","$3,847","$2,110",2019
BrightDrop Zevo 600/400,BEV,,,0.00,,$0,$0,2025
Cadillac LYRIQ,BEV,312,100.0,3.12,"$62,990.00",$630,$202,2022
Chevrolet Bolt EUV,BEV,247,60.0,4.12,"$27,200.00",$453,$110,2021
Chevrolet Bolt EV,BEV,259,60.0,4.32,"$25,600.00",$427,$99,2017
Chrysler Pacifica Hybrid,PHEV,32,16.0,2.00,"$46,978.00","$2,936","$1,468",2017
Ferrari 296GTB,PHEV,13,8.0,1.63,"$322,986.00","$40,373","$24,845",2022
Ferrari SF90 Stradale,PHEV,9,8.0,1.13,"$625,000.00","$78,125","$69,444",2019
Ford Escape PHEV,PHEV,37,14.0,2.64,"$37,960.00","$2,711","$1,026",2020
Ford F-150 Lightning,BEV,320,98.0,3.27,"$61,689.00",$629,$193,2022
Ford Mustang Mach-E,BEV,300,70.0,4.29,"$43,895.00",$627,$146,2021
Genesis Electrified G80,BEV,282,80.0,3.53,"$79,825.00",$998,$283,2021
Genesis Electrified GV70,BEV,236,77.0,3.06,"$65,850.00",$855,$279,2022
Genesis GV60,BEV,248,77.0,3.22,"$59,290.00",$770,$239,2021
GMC Hummer EV,BEV,320,205.0,1.56,"$110,295.00",$538,$345,2021
GMC Sierra EV,BEV,400,200.0,2.00,"$108,695.00",$543,$272,2025
Hyundai IONIQ 5,BEV,303,77.4,3.91,"$39,950.00",$516,$132,2021
Hyundai Kona Electric,BEV,258,64.0,4.03,"$34,000.00",$531,$132,2019
Hyundai Santa Fe PHEV,PHEV,31,12.0,2.58,"$40,000.00","$3,333","$1,290",2018
Hyundai Tuscon Plug-In Hybrid,PHEV,33,14.0,2.36,"$35,400.00","$2,529","$1,073",2022
Jaguar I-PACE,BEV,234,90.0,2.60,"$71,300.00",$792,$305,2018
Jeep Grand Cherokee 4xe,PHEV,26,17.0,1.53,"$60,260.00","$3,545","$2,318",2022
Jeep Wrangler 4xe,PHEV,22,17.0,1.29,"$53,995.00","$3,176","$2,454",2021
Karma GS-6,PHEV,61,28.0,2.18,"$95,700.00","$3,418","$1,569",2021
Kia EV6,BEV,310,77.0,4.03,"$41,400.00",$538,$134,2022
Kia EV9,BEV,0,76.1,0.00,,$0,$0,2024
Kia Niro EV,BEV,239,64.0,3.73,"$39,450.00",$616,$165,2022
Kia Niro PHEV,PHEV,26,9.0,2.89,"$29,590.00","$3,288","$1,138",2025
Kia Sorento Plug-in Hybrid SX,PHEV,32,14.0,2.29,"$48,890.00","$3,492","$1,528",2022
Kia Sportage PHEV,PHEV,34,14.0,2.43,"$38,490.00","$2,749","$1,132",2023
Land Rover Range Rover PHEV,PHEV,19,13.0,1.46,"$104,500.00","$8,038","$5,500",2013
Land Rover Range Rover Sport PHEV,PHEV,19,13.0,1.46,"$83,000.00","$6,385","$4,368",2022
Lexus NX 450h+,PHEV,37,18.0,2.06,"$57,705.00","$3,206","$1,560",2022
Lexus RX PHEV,,,,0.00,,$0,$0,2024
Lexus TX 550h+,,33,,0.00,,$0,$0,2024
Lincoln Aviator Grand Touring,PHEV,21,14.0,1.50,"$69,190.00","$4,942","$3,295",2003
Lincoln Corsair Grand Touring,PHEV,28,14.0,2.00,"$53,185.00","$3,799","$1,899",2019
Lordstown Endurance,BEV,250,109.0,2.29,"$52,500.00",$482,$210,2022
Lucid Air,BEV,516,118.0,4.37,"$154,000.00","$1,305",$298,2021
Mazda CX-90 PHEV,PHEV,26,,0.00,"$47,455.00",$0,"$1,825",2023
McLaren Artura,PHEV,11,7.0,1.57,,$0,$0,2022
Mercedes-Benz EQB,BEV,250,67.0,3.73,"$54,500.00",$813,$218,2021
Mercedes-Benz EQB SUV,BEV,232,71.0,3.27,"$56,900.00",$801,$245,2021
Mercedes-Benz EQE Sedan,BEV,305,91.0,3.35,,$0,$0,2022
Mercedes-Benz EQE SUV,BEV,279,91.0,3.07,,$0,$0,2022
Mercedes-Benz EQS Sedan,BEV,305,108.0,2.82,,$0,$0,2021
Mercedes-Benz EQS SUV,BEV,333,108.0,3.08,"$105,400.00",$976,$317,2023
Mercedes-Benz E-Sprinter,,,,0.00,,$0,$0,2024
Mini Cooper Electric SE Hardtop 2 door,BEV,114,33.0,3.45,"$34,225.00","$1,037",$300,2024
Mini Countryman SE PHEV,PHEV,18,10.0,1.80,"$41,500.00","$4,150","$2,306",2017
Mitsubishi Outlander PHEV,PHEV,24,14.0,1.71,"$36,995.00","$2,643","$1,541",2013
Nissan Ariya,BEV,216,65.0,3.32,"$44,485.00",$684,$206,2024
Nissan LEAF,BEV,149,40.0,3.73,"$28,040.00",$701,$188,2010
Polestar 2,BEV,233,78.0,2.99,"$48,400.00",$621,$208,2019
Porsche Cayenne S E-Hybrid,PHEV,17,11.0,1.55,"$86,500.00","$7,864","$5,088",2014
Porsche Panamera E-Hybrid,PHEV,17,11.0,1.55,"$99,600.00","$9,055","$5,859",2013
Porsche Taycan,BEV,201,79.0,2.54,"$86,700.00","$1,097",$431,2019
Rivian R1S,BEV,295,135.0,2.19,"$72,500.00",$537,$246,2022
Rivian R1T,BEV,314,135.0,2.33,"$73,000.00",$541,$232,2021
Subaru Crosstrek PHEV,PHEV,17,9.0,1.89,"$36,345.00","$4,038","$2,138",2014
Tesla Model 3,BEV,267,60.5,4.41,"$46,990.00",$777,$176,2017
Tesla Model S,BEV,375,100.0,3.75,"$104,990.00","$1,050",$280,2012
Tesla Model X,BEV,332,100.0,3.32,"$120,990.00","$1,210",$364,2015
Tesla Model Y,BEV,318,75.0,4.24,"$65,990.00",$880,$208,2020
Toyota bZ4X,BEV,252,75.0,3.36,"$42,000.00",$560,$167,2024
Toyota Prius Prime,PHEV,25,9.0,2.78,"$28,770.00","$3,197","$1,151",2016
Toyota RAV4 Prime,PHEV,42,18.0,2.33,"$41,590.00","$2,311",$990,2021
VinFast VF 8,BEV,207,82.0,2.52,"$57,000.00",$695,$275,2022
Volkswagen ID.4,BEV,260,77.0,3.38,"$40,290.00",$523,$155,2020
Volvo C40,BEV,225,78.0,2.88,"$55,300.00",$709,$246,2021
Volvo EX90,BEV,300,111.0,2.70,,$0,$0,2024
Volvo S60 T8 Recharge PHEV,PHEV,40,19.0,2.11,"$51,250.00","$2,697","$1,281",2022
Volvo S90 T8 PHEV,PHEV,38,19.0,2.00,"$70,500.00","$3,711","$1,855",2016
Volvo V60 Recharge,PHEV,40,19.0,2.11,"$70,550.00","$3,713","$1,764",2010
Volvo XC40,BEV,223,78.0,2.86,,$0,$0,2017
Volvo XC60 T8 PHEV,PHEV,36,19.0,1.89,"$57,200.00","$3,011","$1,589",2015
Volvo XC90 T8 PHEV,PHEV,18,19.0,0.95,"$71,900.00","$3,784","$3,994",2024
